13831,6921
11176,4185
12073,2958
11186,3395
11242,3360
14485,6440
12737,7907
11305,5167
10180,3931
11419,5922
16038,4267
16863,6053
14828,3203
17028,6462
12843,7957
15062,4420
15290,4645
11588,5827
10410,6776
12235,7779
18093,8937
11936,4171
11399,3592
11762,3716
11866,3753
17379,7158
16736,5969
16973,6418
16810,5939
14465,7432
17651,8490
15511,3444
13190,5804
12117,8654
12435,7915
17491,8598
13550,9171
11706,6091
11010,9070
12285,3280
16602,8907
17629,7651
17315,7060
17096,6754
13373,5965
15546,4273
15440,5644
12054,3915
11599,3137
12518,8072
93204,8856
13473,7161
12202,3764
12352,9028
12217,5566
17396,7200
16797,5924
17057,6521
17373,7615
15157,3143
18094,8724
16653,6799
13420,7339
12822,3511
12498,3249
17648,7867
14343,6232
11801,5145
11569,5656
13548,5432
17783,8016
17776,8155
17363,7154
17301,7103
16409,7301
15598,7076
15709,4758
12500,4607
13077,2959
12780,7956
99949,9044
15272,7636
12913,6557
12805,9102
15311,6713
17429,7385
16999,6342
17190,6807
17397,7225
16809,6055
18121,8781
17523,8187
15305,8526
12910,3843
12583,3051
86061,9062
15450,7024
12035,9100
11647,9066
15802,3944
17878,8736
17952,8334
17411,7224
17326,7077
16492,5284
17543,7906
17621,7766
15804,4333
13204,7889
12879,4149
1.0009e+05,7944
16049,9098
13394,3368
14726,3392
15426,6661
17668,7716
17119,6655
17460,7366
17428,7304
17155,6717
