6921,8490,8724,8781
4185,3444,6799,8187
2958,5804,7339,8526
3395,8654,3511,3843
3360,7915,3249,3051
6440,8598,7867,9062
7907,9171,6232,7024
5167,6091,5145,9100
3931,9070,5656,9066
5922,3280,5432,3944
4267,8907,8016,8736
6053,7651,8155,8334
3203,7060,7154,7224
6462,6754,7103,7077
7957,5965,7301,5284
4420,4273,7076,7906
4645,5644,4758,7766
5827,3915,4607,4333
6776,3137,2959,7889
7779,8072,7956,4149
8937,8856,9044,7944
4171,7161,7636,9098
3592,3764,6557,3368
3716,9028,9102,3392
3753,5566,6713,6661
7158,7200,7385,7716
5969,5924,6342,6655
6418,6521,6807,7366
5939,7615,7225,7304
7432,3143,6055,6717
